type,vertices,heuristic,colors,time
90,50,DSATUR,25,121942
90,50,GREEDY,27,15578
90,50,WELSH_POWELL,24,43324
90,50,DSATUR,24,124376
90,50,GREEDY,26,15128
90,50,WELSH_POWELL,24,42513
90,50,DSATUR,23,118833
90,50,GREEDY,25,14475
90,50,WELSH_POWELL,24,43102
90,50,DSATUR,23,121518
90,50,GREEDY,26,15153
90,50,WELSH_POWELL,25,41527
90,50,DSATUR,23,147525
90,50,GREEDY,29,14558
90,50,WELSH_POWELL,25,42540
90,50,DSATUR,27,135490
90,50,GREEDY,26,14710
90,50,WELSH_POWELL,24,41072
90,50,DSATUR,23,116404
90,50,GREEDY,28,14562
90,50,WELSH_POWELL,24,43199
90,50,DSATUR,27,166781
90,50,GREEDY,25,14752
90,50,WELSH_POWELL,22,41788
90,50,DSATUR,23,114727
90,50,GREEDY,30,14308
90,50,WELSH_POWELL,25,41461
90,50,DSATUR,25,112066
90,50,GREEDY,25,15001
90,50,WELSH_POWELL,24,44084
90,50,DSATUR,23,135263
90,50,GREEDY,27,15123
90,50,WELSH_POWELL,23,42988
90,50,DSATUR,24,124884
90,50,GREEDY,25,15750
90,50,WELSH_POWELL,23,43311
90,50,DSATUR,24,125003
90,50,GREEDY,28,15885
90,50,WELSH_POWELL,26,44672
90,50,DSATUR,25,125946
90,50,GREEDY,27,14336
90,50,WELSH_POWELL,25,43743
90,50,DSATUR,25,125457
90,50,GREEDY,27,14373
90,50,WELSH_POWELL,26,44344
90,50,DSATUR,24,122733
90,50,GREEDY,28,14606
90,50,WELSH_POWELL,24,50786
90,50,DSATUR,25,121506
90,50,GREEDY,28,14941
90,50,WELSH_POWELL,26,43223
90,50,DSATUR,25,121313
90,50,GREEDY,28,14068
90,50,WELSH_POWELL,25,41059
90,50,DSATUR,25,145343
90,50,GREEDY,26,16603
90,50,WELSH_POWELL,24,45754
90,50,DSATUR,23,120729
90,50,GREEDY,26,14603
90,50,WELSH_POWELL,24,52948
90,50,DSATUR,23,115430
90,50,GREEDY,27,13106
90,50,WELSH_POWELL,25,41574
90,50,DSATUR,24,123901
90,50,GREEDY,29,14411
90,50,WELSH_POWELL,26,43014
90,50,DSATUR,25,126585
90,50,GREEDY,25,17190
90,50,WELSH_POWELL,25,41637
90,50,DSATUR,23,118740
90,50,GREEDY,28,14801
90,50,WELSH_POWELL,24,43816
90,50,DSATUR,24,133893
90,50,GREEDY,26,15086
