type,vertices,heuristic,colors,time
10,50,GREEDY,5,9793
10,50,WELSH_POWELL,4,31228
10,50,DSATUR,4,59207
10,50,GREEDY,5,10322
10,50,WELSH_POWELL,5,33277
10,50,DSATUR,4,60730
10,50,GREEDY,5,10082
10,50,WELSH_POWELL,5,33010
10,50,DSATUR,4,63468
10,50,GREEDY,5,10473
10,50,WELSH_POWELL,4,32132
10,50,DSATUR,4,62548
10,50,GREEDY,5,8584
10,50,WELSH_POWELL,4,29484
10,50,DSATUR,4,55600
10,50,GREEDY,5,9404
10,50,WELSH_POWELL,4,28811
10,50,DSATUR,4,58290
10,50,GREEDY,5,8917
10,50,WELSH_POWELL,5,29817
10,50,DSATUR,5,60735
10,50,GREEDY,4,8622
10,50,WELSH_POWELL,4,29584
10,50,DSATUR,4,57712
10,50,GREEDY,5,9372
10,50,WELSH_POWELL,4,32081
10,50,DSATUR,4,58430
10,50,GREEDY,4,8817
10,50,WELSH_POWELL,4,30227
10,50,DSATUR,4,60100
10,50,GREEDY,4,10247
10,50,WELSH_POWELL,5,30752
10,50,DSATUR,4,59487
10,50,GREEDY,4,9415
10,50,WELSH_POWELL,4,30186
10,50,DSATUR,4,57616
10,50,GREEDY,4,9570
10,50,WELSH_POWELL,4,31091
10,50,DSATUR,4,60419
10,50,GREEDY,5,9928
10,50,WELSH_POWELL,4,30537
10,50,DSATUR,4,56581
10,50,GREEDY,5,9722
10,50,WELSH_POWELL,5,30774
10,50,DSATUR,4,59424
10,50,GREEDY,5,9565
10,50,WELSH_POWELL,5,31884
10,50,DSATUR,4,62038
10,50,GREEDY,5,9217
10,50,WELSH_POWELL,4,31857
10,50,DSATUR,4,61648
10,50,GREEDY,5,10498
10,50,WELSH_POWELL,4,32390
10,50,DSATUR,4,60294
10,50,GREEDY,5,10157
10,50,WELSH_POWELL,5,32843
10,50,DSATUR,4,62496
10,50,GREEDY,5,8971
10,50,WELSH_POWELL,4,30915
10,50,DSATUR,4,60646
10,50,GREEDY,5,9528
10,50,WELSH_POWELL,4,31950
10,50,DSATUR,4,62304
10,50,GREEDY,4,9763
10,50,WELSH_POWELL,4,31822
10,50,DSATUR,4,60477
10,50,GREEDY,6,9923
10,50,WELSH_POWELL,4,32790
10,50,DSATUR,4,63812
10,50,GREEDY,5,9641
10,50,WELSH_POWELL,4,32499
10,50,DSATUR,4,61389
10,50,GREEDY,5,10726
10,50,WELSH_POWELL,5,33872
10,50,DSATUR,4,62715
10,50,GREEDY,4,9586
10,50,WELSH_POWELL,4,31221
10,50,DSATUR,4,61463
10,50,GREEDY,6,10873
10,50,WELSH_POWELL,4,34493
10,50,DSATUR,4,62405
10,50,GREEDY,5,10271
10,50,WELSH_POWELL,4,33629
10,50,DSATUR,4,64465
10,50,GREEDY,6,9414
10,50,WELSH_POWELL,5,32504
10,50,DSATUR,4,60228
10,50,GREEDY,5,10553
10,50,WELSH_POWELL,4,32762
10,50,DSATUR,4,62086
10,50,GREEDY,5,10210
10,50,WELSH_POWELL,4,33152
10,50,DSATUR,5,63192
10,50,GREEDY,6,9860
10,50,WELSH_POWELL,4,32237
10,50,DSATUR,4,62674
10,50,GREEDY,5,9696
10,50,WELSH_POWELL,4,31918
10,50,DSATUR,4,59976
10,50,GREEDY,6,10427
10,50,WELSH_POWELL,5,33080
10,50,DSATUR,4,63662
10,50,GREEDY,5,10357
10,50,WELSH_POWELL,5,33304
10,50,DSATUR,4,62824
10,50,GREEDY,4,9325
10,50,WELSH_POWELL,4,31837
10,50,DSATUR,4,59678
10,50,GREEDY,4,9897
10,50,WELSH_POWELL,4,36311
10,50,DSATUR,4,63418
10,50,GREEDY,5,9448
10,50,WELSH_POWELL,4,31641
10,50,DSATUR,4,58787
10,50,GREEDY,5,10262
10,50,WELSH_POWELL,4,33112
10,50,DSATUR,4,63087
10,50,GREEDY,5,9576
10,50,WELSH_POWELL,4,31151
10,50,DSATUR,4,59993
10,50,GREEDY,5,9662
10,50,WELSH_POWELL,5,33140
10,50,DSATUR,4,62194
10,50,GREEDY,5,9774
10,50,WELSH_POWELL,4,32569
10,50,DSATUR,5,61413
10,50,GREEDY,5,9497
10,50,WELSH_POWELL,4,33094
10,50,DSATUR,4,60298
10,50,GREEDY,5,10207
10,50,WELSH_POWELL,5,32674
10,50,DSATUR,4,9268976
10,50,GREEDY,5,10772
10,50,WELSH_POWELL,5,36621
10,50,DSATUR,4,63135
10,50,GREEDY,5,9659
10,50,WELSH_POWELL,4,32607
